	research_title	research_subject
2192	혈액투석 환자에서 대퇴신경병증으로 발현된 장골근 및 요근 농양 = A Case of Primary Iliopsoas Abscess Presented as Femoral Neuropathy in a Hemodialysis Patient	Iliopsoas abscess ;  Femoral neuropathy ;  Hemodialysis
2193	아구성 자연살해세포 림프종(Blastic NK-cell lymphoma) = A Case of Blastic NK-cell Lymphoma	Blastic NK-cell lymphoma ;  CD56
2194	다형 홍반양 표적 병변을 보인 신생아 홍반성 루푸스 = Neonatal Lupus Erythematosus Showing Target-like Skin Lesions	Neonatal lupus erythematosus ;  Target-like lesions ;  Anti-SSA/Ro antibody
2195	화농성 간농양에 동반된 안내염 1 예 = A Case of Pyogenic Liver Abscess Complicated with Endophthalmitis	Liver abscess ;  Klebsiella pneumoniae ;  Endophthalmitis
2196	류마티스 관절염으로 오인한 다중심성 망상조직구 증식증 1예 = A Case of Multicentric Reticulohistiocytosis Misdiagnosed as Rheumatoid Arthritis	Multicentric reticulohistiocytosis ;  Rheumatoid arthritis
2197	[P228] A case of hereditary benign telangiectasia without family history = [P228] A case of hereditary benign telangiectasia without family history	Hereditary benign telangiectasia ;  Non hereditary benign telangiectasia ;  Telangiectasia
2198	월경성 객혈 = A case of catamenial hemoptysis	월경성 객혈 ;  Catamenial hemoptysis ;  Danazol
2199	뇌기저부 골수염으로 진행된 만성 침습성 진균성 부비동염 1예 = Chronic Invasive Fungal Sinusitis Progressed to Skull Base Osteomyelitis	진균성 부비동염·골수염·뇌막염 ;  Fungal sinusitis·Osteomyelitis·Meningitis
2200	Case Reports : Autoimmune Hepatitis in a Patient with Myasthenia Gravis and Thymoma - a Report on the First Case in Korea	Acquired hemophilia ;  Factor 8 inhibitor ;  Immunosuppressive therapy
2201	Mullerian Dysgenesis 환자에서 난소종양으로 의심된, 흔적자궁으로부터 발생한 자궁근종 = A Case of a Mullerian Duct Remnant Leiomyoma Suspected of Ovarian Tumor in a Woman with Mullerian Dysgenesis	Mullerian dysgenesis ;  Congenital vaginal agenesis ;  Leiomyoma ;  뮐러씨 이형성증 ;  선천성 질 결손증 ;  자궁근종
2202	특발성 제2형 막증식성 사구체신염 2예 = Two Cases of Type 2 Membranoproliferative Glomerulonephritis	Type 2 idiopathic membranoproliferative glomerulonephritis ;  Dense deposit disease
2203	이차성 부갑상선 기능항진증과 연관되어 발생한 상완골의 갈색종 1예 = Brown Tumor of the Humerus Associated with Secondary Hyperparathyroidism: A Case Report of Successful Treatment after Subtotal Parathyroidectomy	갈색종양 ;  이차성 부갑상선 기능항진증 ;  부갑상선절제수술 ;  Brown tumor ;  Secondary hyperparathyroidism ;  Parathyroidectomy
2204	복합화학요법에 반응한 악성 사구체 종양 1예 = A Case Report of Malignant Glomus Tumor Responding to Combination Chemotherapy	Malignant glomus tumor ;  Metastatic ;  Combination chemotherapy ;  Partial response
2205	A New Paradigm Shift in Gastroparesis Management = A New Paradigm Shift in Gastroparesis Management	Gastroparesis ;  Treatment ;  Pyloromyotomy ;  Outcomes
2206	전신성 홍반성 루푸스 환자에서 발생한 경막하 출혈 = Subdural Hematoma Occurring in a Patient with Systemic Lupus Erythematosus	Systemic Lupus erythematosus ;  Subdural hematoma
2207	일광 비노출 부위에 발생한 Annular Elastolytic Giant Cell Granuloma = A Case of Annular Elastolytic Giant Cell Granuloma Occurring on Non-sun-exposed Skin	Annular elastolytic giant cell granuloma ;  Non-sun-exposed area
2208	Guillain-Barre 증후군과 뇌경색 양상을 보인 신경정신 루푸스 = A Case of Neuropsychiatric Lupus Presenting as Guillain-Barre Syndrome and Cerebral Infarction	Systemic Lupus erythematosus ;  Neuropsychiatric Lupus ;  Guillain-Barre syndrome ;  Cerebral infarction
2209	소장게실의 절제는 필요한가? = Should Small Bowel Diverticula be Removed?	소장게실 ;  메켈게실 ;  치료 ;  Small bowel diverticulum ;  Meckel`s diverticulum ;  Treatment
2210	전신성 홍반성 루푸스와 연관된 광범위한 뇌 석회화 = A Case of Systemic Lupus Erythematosus Associated with Marked Intracranial Calcification	Systemic Lupus erythematosus ;  Central nervous system ;  Calcification
2211	타카야수 동맥염에 동반된 루푸스 신염 1례 = A Case of Lupus Nephritis in a Patient with Takayasu`s Arteritis	Takayasu`s arteritis ;  Systemic Lupus erythematosus ;  Lupus nephritis
2212	성문하 협착을 동반한 베게너 육아종증 = Subglottic Stenosis in Wegener`s granulomatosis -A Case Report-	Wegener`s granulomatosis ;  Subglottic stenosis
2213	복강내 종괴로 나타난 닭뼈에 의한 장천공 1 예 = A Case of Intestinal Perforation by Chicken bone Presenting as an Intraabdominal Inflammatory Mass	Idiopathic portal hypertension ;  Partial splenic embolization
2214	위 전이를 동반한 재발성 부신피질암종 1예	Adrenocortical carcinoma ;  Recurrence ;  Neoplasm metastasis ;  Stomach
2215	복벽에 발생한 방선균증 = A Case of Abdominal Wall Actinomycosis	Actinomycosis ;  Abdominal wall
2216	경막동정맥루에 의해 발생한 박동성 이명 2예 = Two cases of pulsatile tinnitus due to dural arteriovenous fistula	Vascular malformation ;  Embolization ;  Tinnitus
2217	삼일열 말라리아 감염에 의한 급성 담낭염 = A Case of Acute Cholecystitis Caused by Plasmodium vivax Infection	급성 담낭염 ;  비장경색 ;  삼일열 말라리아 ;  Acute cholecystitis ;  Splenic infarction ;  Plasmodium vivax
2218	3마리의 한우 송아지에서 발생한 불완전상피증 증례 = Epitheliogenesis imperfecta in three Korean indigenous calves	Congenital ;  Epitheliogenesis imperfecta ;  Korean indigenous calves
2219	클로미펜으로 배란을 유도한 여성에서 발생한 양측 난관임신 = A Case of Bilateral Tubal Pregnancy in Woman With Ovulation Induction By Clomiphene Citrate	클로미펜 ;  배란유도 ;  양측 난관임신 ;  Clomiphene ;  Ovulation induction ;  Pregnancy ;  Tubal
2220	증례보고 : 척수 근위축증 환자의 전신 마취 경험 1예 = Intravenous Anesthesia in Spinal Muscular Atrophy -A case report-	intravenous anesthesia ;  muscle relaxants ;  spinal muscular atrophy
2221	발바닥의 표피하 석회결절 = A Study of a Patient with a Subepidermal Calcified Nodule on the Sole	Sole ;  Subepidermal calcified nodule
2222	유방의 종괴로 발현된 항호중구세포질항체 음성 육아종 다발혈관염 = A Case of Antineutrophil Cytoplasmic Antibody-negative Granulomatosis with Polyangiitis Presenting as Breast Mass	Granulomatosis with polyangiitis ;  Antibodies ;  Antineutrophil cytoplasmic ;  Breast
2223	다발성 골수종이 동반된 지속융기홍반 = A Case of Erythema Elevatum Diutinum with Multiple Myeloma	Erythema elevatum diutinum ;  Multiple myeloma
2224	간문맥 내 가스와 장관 포상 기종으로 발현한 괴사성 대장염 = A Case of Necrotizing Colitis Presenting with Hepatic Portal Venous Gas and Pneumatosis Intestinalis	Hepatic portal venous gas ;  Pneumatosis intestinalis
2225	Rituximab 치료로 호전된 재발성 베게너 육아종증 = A Case of Relapsing Granulomatosis with Polyangiitis Treated Successfully with Rituximab	Granulomatosis with polyangiitis ;  Cranial nerve ;  Rituximab
2226	시차를 두고 양측 후이개에 발생한 기무라씨병 1예 = Sequentially Developed Bilateral Postauricular Kimura's Disease	후이개 ;  기무라씨병 ;  스테로이드 요법 ;  Angiolymphoid hyperplasia with eosinophilia ;  Kimura's disease ;  Auricle
2227	손발바닥의 병변을 동반한 호산구성 고름물집모낭염 = Eosinophilic Pustular Folliculitis with Palmoplantar Involvement	Eosinophilic pustular folliculitis ;  Palmoplantar involvement
2228	십이지장 궤양 출혈로 내원한 환자에서 진단된 C 단백 결핍증으로 인해 발생한 장간막 정맥 혈전증 = A Case of Superior Mesenteric Venous Thrombosis Due to Protein C Deficiency in a Patient with Duodenal Ulcer Bleeding	Mesenteric venous thrombosis ;  Protein C deficiency ;  Mesenteric vascular disease
2229	유두 미란성 선종증 = Erosive Adenomatosis of the Nipple	Breast neoplasm ;  Papilloma
2230	대상포진 발병 후 발생한 난치성 소양증 = A Case of Intractable Postherpetic Itch	Gabapentin ;  Neuropathic itch ;  Postherpetic itch
2231	중년 이후 양측 안검부에 대칭으로 발생한 면포 모반 = A Nevus Comedonicus Symmetrically Developed on Both Eyelids in Middle Aged Man	Bilateral ;  Middle aged ;  Nevus comedonicus
2232	Case Report : Febrile Ulceronecotic Pityriasis Lichenoides et Varioliformis Acuta Successfully Treated with Oral Cyclosporin = Case Report : Febrile Ulceronecotic Pityriasis Lichenoides et Varioliformis Acuta Successfully Treated with Oral Cyclosporin	Cyclosporine ;  Febrile ulceronecrotic ;  Mucha-Haberrman disease ;  Pityriasis lichenoides et varioliformis acuta
2233	구개에 발생한 과립세포종 = ORAL GRANULAR CELL TUMOR OF THE PALATE	Granular cell tumor ;  Histogenic origin ;  Schwann s cell
2234	자궁경수술로 치료된 자궁내막 골화생 = A Case Of Endometrial Osseous Metaplasia Treated By Hysteroscopic Operation	Osseous metaplasia ;  Hysteroscopy ;  Secondary infertility
2235	성병림프육아종 = A Case of Lymphogranuloma venereum in woman	성병림프육아종 ;  클라미디아 트라코마티스 Lymphogranuloma venereum ;  Chlamydia trachomatis
2236	풍선 확장술로 치료한 담관결석과 동반된 총담관 막양구조 = A Common Bile Duct Web in Association with Bile Duct Stone Treated with Balloon Dilatation	총담관 막양구조 ;  담관결석 ;  풍선확장술 ;  Common bile duct web ;  Bile duct stone ;  Balloon dilatation
2237	Post-Hepatitic Aplastic Anemia Associated with Hepatitis A Virus	Hepatitis A ;  Aplastic anemia ;  Pancytopenia ;  Bone marrow transplantation
2238	임신성 급성지방간 보고 = Acute fatty Liver of pregnancy A case report	임신성 급성지방간 ;  조기진단 ;  조기분만 ;  Acute fatty Liver ;  Early diagnosis ;  Prompt delivery
2239	C1q nephropathy의 임상병리학적 소견 = Clinicopathologic Characteristics of C1q nephropathy	C1q ;  Glomerulonephritis ;  Nephrotic syndrome
2240	발가락 사이에 발생한 털뭉치굴 = A Case of Interdigital Pilonidal Sinus in the Foot	Interdigital web space ;  Pilonidal sinus
2241	항암화학요법 후 발생한 위장관기종 1예	Chemotherapy ;  Drug therapya
2242	전신홍반루푸스 환자에서 발생한 진행성 다초점 백색질 뇌증 = Progressive Multifocal Leukoencephalopathy in a Patient with Systemic Lupus Erythematosus	Progressive multifocal Leukoencephalopathy ;  JC virus ;  SLE
2243	전신홍반루푸스에 병발한 다발성 위유암종 = A Case of Multiple Gastric Carcinoid in a Woman with Systemic Lupus Erythematosus	Systemic Lupus erythematosus ;  Gastric carcinoid tumor ;  Autoimmune disorder
2244	원발성 악성 광인대 종양 = A case of primary clear cell carcinoma of broad Ligament	Broad Ligament tumor ;  Clear cell carcinoma ;  원발성 광인대 종양 ;  투명세포암
2245	가족력을 동반한 군집성 흑색점증 = Agminated Lentiginosis with a Family History	Agminated Lentiginosis ;  Cafe-au-Lait macule ;  Dermatomal neurofibromatosis
2246	임신 제3삼분기에 aspartate transaminase/alanine transaminase (AST/ALT) 상승을 동반한 소장폐색 = A case of small bowel obstruction with elevated aspartate transaminase/alanine transaminase (AST/ALT) in the third trimester of pregnancy	Intestinal obstruction ;  Pregnancy ;  Fatty Liver ;  장폐색 ;  임신 ;  급성 지방간
2247	국내 복강 내 낭성 림프관종의 임상양상 = Clinical Aspects of Intraabdominal Cystic Lymphangioma in Korea	낭성 림프관종 ;  복강 ;  Lymphangioma ;  Cystic ;  Abdominal cavity
2248	모공성 홍색 비강진 30예에 대한 임상적 고찰 = A Clinical Study of 30 Cases of Pityriasis Rubra Pilaris모공성 홍색 비강진 30예에 대한 임상적 고찰	Clinical study ;  Griffiths` classification ;  Pityriasis rubra pilaris
2249	류마티스관절염 환자에서 Infliximab 투여 후 발생한 수포성 유천포창 = A Case of Bullous Pemphigoid Arising after Infliximab Therapy in a Patient with Rheumatoid Arthritis	Infliximab ;  Bullous pemphigoid ;  Rheumatoid arthritis
2250	캡슐 내시경으로 평가된 만성 비육아종 궤양성 공회장염 = Chronic Non-granulomatous Ulcerative Jejunoileitis Assessed by Wireless Capsule Endoscopy	Ileitis ;  Ulcerative ;  Hypoalbuminemia ;  Malabsorption syndromes ;  Capsule endoscopy
2251	갑상선 일측 무형성증 3예 = Three Cases of Thyroid Hemiagenesis	Thyroid gland ;  Hemiagenesis ;  갑상선 ;  일측 무형성증
2252	얼굴의 다발성 경화 섬유종을 동반한 Cowden 증후군 = Short Report : Cowden Syndrome Accompanied by Multiple Sclerotic Fibroma on the Face	Cowden syndrome ;  Sclerotic fibroma
2253	Neonatal Silver-Russell syndrome assumed to result from maternal uniparental heterodisomy of chromosome 7	Silver-Russell syndrome ;  Uniparental disomy ;  Genomic imprinting ;  Infant ;  Extremely low birth weight infant
2254	자궁절제술을 받은 후 발생한 단독 난관수종의 염전 = Isolated torsion of the hydrosalpinx after hysterectomy A case report	Isolated tubal torsion ;  Hydrosalpinx ;  Total abdominal hysterectomy ;  난관 수종 ;  난관염전 ;  자궁절제술
2255	우성위축물집표피박리증 = Dominant Dystrophic Epidermolysis Bullosa	Dominant dystrophic epidermolysis bullosa ;  Epidermolysis bullosa simplex
2256	지루피부염으로 오인해 치료해온 거짓원형탈모증 3예 = Three Cases of Pseudopelade of Brocq that Had Been Misdiagnosed as Seborrheic Dermatitis	Pseudopelade of Brocq ;  Seborrheic dermatitis
2257	Minimally Invasive Surgery of Spinal Extradural Arachnoid Cyst with High-Resolution Myelography: A Case Report	Arachnoid cysts ;  Fluoroscopy ;  Myelography ;  Minimally invasive surgical procedures ;  Spinal cord diseases
2258	제 4 새실동 1예 = Fourth Branchial Pouch Sinus 1 Case	제 4 새실동 ;  급성 화농성 갑상선염 ;  Fourth branchial pouch sinus ;  Acute suppurative thyroiditis
2259	선천성 부신 무형성증에 의한 피부 과색소침착증 = A Case of Hypermelanosis in Congenital Adrenal Aplasia	Congenital adrenal aplasia ;  Hypermelanosis
2260	굴곡부 망상 색소이상증 = A Case of Reticulate Pigmented Anomaly of the Flexures	Pigmentation ;  Reticulate pigmented anomaly of the flexures ;  Dowling - Degos Disease
2261	결체조직질환의 희귀한 피부증상 ( II ) - 다발성 궤양을 보인 피부근염 - = Unusual Cutaneous Manifestions of Connective Tissue Disease II . Multiple Cutaneous Ulcerations in Dermatomyositis	Dermatomyositis ;  Cutaneous ulcerations
2262	표피박리성 수장족저 각화증 = A Case of Epidermolytic Keratosis Palmaris et Plantaris	Tonofilament ;  Epidermolytic hyperkeratosis ;  Keratohyalin
2263	임신 중 발생한 육아종성 소엽성 유방염 -1예 보고- = Granulomatous(Lobular) Mastitis in a Pregnant Woman -A case report-	Granulomatous mastitis ;  Lobulocentric mastitis ;  Pregnancy ;  Microabscess
2264	성인형 다낭신을 동반한 포터 증후군 -1 부검 증례- = Potter's Syndrome with Adult Polycystic Renal Disease An autopsy case report	Potter's syndrome ;  Adult polycystic kidney disease(Potter type Ⅲ)
2265	신생아 위 천공의 임상적 고찰 = Clinical Study of Neonatal Gastric Perforation	Gastric perforation ;  Neonate
2266	신생아 양성 발진성 혈관종증 = A Case of Benign Neonatal Eruptive Hemangiomatosis	Benign neonatal eruptive hemangiomatosis ;  Capillary angiomatous nevi
2267	상흉부에 발생한 경화 위축성 태선 = A Case of Lichen Sclerosus et Atrophicus Occuring on Upper Chest Area	Lichen sclerosus et atrophicus ;  Upper chest area
